City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Basco,PH,2022-02-05 04:59:54,20.4487,121.9702,72.59,75,96,27.07
1,Matagami,CA,2022-02-05 04:59:54,49.7502,-77.6328,-14.69,76,20,4.61
2,Road Town,VG,2022-02-05 04:59:55,18.4167,-64.6167,73.0,76,100,17.76
3,Olinda,BR,2022-02-05 04:57:25,-8.0089,-34.8553,82.13,65,20,4.61
4,Rikitea,PF,2022-02-05 04:59:56,-23.1203,-134.9692,78.98,69,5,7.52
5,Luderitz,NA,2022-02-05 04:59:41,-26.6481,15.1594,67.64,75,94,3.38
6,Port Alfred,ZA,2022-02-05 04:59:56,-33.5906,26.891,69.4,84,96,11.9
7,Dolores,AR,2022-02-05 04:59:57,-36.3132,-57.6792,61.61,95,100,9.15
8,Dingle,PH,2022-02-05 04:59:57,10.9995,122.6711,82.47,70,83,18.01
9,Axim,GH,2022-02-05 04:59:58,4.8699,-2.2405,78.06,84,26,2.28
10,Chiang Klang,TH,2022-02-05 04:59:58,19.2938,100.8617,67.33,46,23,4.12
11,Avarua,CK,2022-02-05 04:55:04,-21.2078,-159.775,80.65,78,94,13.8
12,Albany,US,2022-02-05 05:00:00,42.6001,-73.9662,14.14,85,99,3.22
13,Milazzo,IT,2022-02-05 05:00:04,38.2212,15.2383,59.18,62,9,5.99
14,Port Lincoln,AU,2022-02-05 04:56:24,-34.7333,135.8667,74.35,54,6,10.63
15,Los Llanos De Aridane,ES,2022-02-05 04:59:11,28.6585,-17.9182,57.13,73,0,8.99
16,Marawi,PH,2022-02-05 05:00:24,7.9986,124.2928,74.64,53,67,8.01
17,Pundaguitan,PH,2022-02-05 05:00:30,6.3711,126.1689,81.0,78,69,17.4
18,Mackay,AU,2022-02-05 05:00:39,-21.15,149.2,85.68,66,81,19.62
19,Puerto Ayora,EC,2022-02-05 05:00:42,-0.7393,-90.3518,74.55,93,46,1.99
20,Itarema,BR,2022-02-05 05:00:43,-2.9248,-39.9167,78.48,81,54,10.85
21,Laguna,US,2022-02-05 05:00:44,38.421,-121.4238,53.96,71,0,0.0
22,Asau,RO,2022-02-05 04:58:42,46.4333,26.4,33.96,62,64,6.69
23,Lockhart,US,2022-02-05 05:00:45,28.6194,-81.4426,71.15,75,21,4.47
24,Noyabrsk,RU,2022-02-05 05:00:46,63.1994,75.4507,0.45,96,48,10.51
25,New Norfolk,AU,2022-02-05 04:56:34,-42.7826,147.0587,72.88,45,85,1.99
26,Ushuaia,AR,2022-02-05 05:00:48,-54.8,-68.3,42.1,85,56,6.2
27,Bambous Virieux,MU,2022-02-05 05:00:49,-20.3428,57.7575,82.22,85,98,20.8
28,Santa Cruz Del Sur,CU,2022-02-05 05:00:49,20.7147,-77.9956,71.67,75,8,14.43
29,Barrow,US,2022-02-05 05:00:50,71.2906,-156.7887,-11.18,70,100,6.91
30,Kristiansund,NO,2022-02-05 05:00:51,63.1115,7.732,37.45,86,75,33.38
31,Punta Arenas,CL,2022-02-05 04:57:47,-53.15,-70.9167,46.51,71,0,8.05
32,Kozulka,UA,2022-02-05 05:00:52,50.0351,23.797,35.89,83,100,11.5
33,Hobart,AU,2022-02-05 05:00:52,-42.8794,147.3294,73.22,60,20,11.5
34,Bredasdorp,ZA,2022-02-05 04:56:20,-34.5322,20.0403,67.32,64,34,16.11
35,Mataura,NZ,2022-02-05 05:00:53,-46.1927,168.8643,59.49,43,10,6.64
36,Tuktoyaktuk,CA,2022-02-05 05:00:54,69.4541,-133.0374,-21.77,91,29,13.18
37,Esperance,AU,2022-02-05 04:58:48,-33.8667,121.9,96.64,46,3,16.28
38,Khatanga,RU,2022-02-05 05:00:55,71.9667,102.5,-35.09,100,87,2.71
39,Kodiak,US,2022-02-05 05:00:55,57.79,-152.4072,37.15,95,98,16.69
40,Busselton,AU,2022-02-05 05:00:56,-33.65,115.3333,108.05,33,6,9.42
41,Hobyo,SO,2022-02-05 05:00:57,5.3505,48.5268,77.65,62,32,17.25
42,Hermanus,ZA,2022-02-05 04:57:53,-34.4187,19.2345,64.8,76,0,18.48
43,Saskylakh,RU,2022-02-05 04:58:56,71.9167,114.0833,-13.9,99,99,4.38
44,Clyde River,CA,2022-02-05 05:00:58,70.4692,-68.5914,-15.65,97,100,4.68
45,Castro,BR,2022-02-05 04:56:40,-24.7911,-50.0119,64.24,98,79,4.5
46,Tahe,CN,2022-02-05 05:00:59,52.3333,124.7333,8.64,62,100,9.62
47,San Quintin,MX,2022-02-05 05:00:59,30.4833,-115.95,55.74,50,17,3.91
48,Mount Gambier,AU,2022-02-05 05:01:59,-37.8333,140.7667,74.21,46,58,14.2
49,Arraial Do Cabo,BR,2022-02-05 04:57:43,-22.9661,-42.0278,75.49,88,97,21.16
50,Kouroussa,GN,2022-02-05 05:02:00,10.65,-9.8833,68.5,19,1,2.89
51,Bodden Town,KY,2022-02-05 05:02:01,19.2833,-81.25,75.99,82,13,3.0
52,Touros,BR,2022-02-05 05:02:01,-5.1989,-35.4608,79.57,74,5,11.48
53,Kavaratti,IN,2022-02-05 05:02:02,10.5669,72.642,77.94,58,81,4.79
54,Bengkulu,ID,2022-02-05 05:02:02,-3.8004,102.2655,78.24,79,100,2.84
55,Mar Del Plata,AR,2022-02-05 04:57:50,-38.0023,-57.5575,67.08,85,100,3.0
56,Bluff,NZ,2022-02-05 05:02:03,-46.6,168.3333,59.81,59,49,5.82
57,Georgetown,MY,2022-02-05 05:01:52,5.4112,100.3354,90.9,61,20,1.01
58,Victoria Point,AU,2022-02-05 05:02:04,-27.5833,153.3,80.82,66,64,8.01
59,Stanger,ZA,2022-02-05 05:02:04,-29.3282,31.2895,68.92,95,100,4.88
60,Atuona,PF,2022-02-05 05:02:05,-9.8,-139.0333,78.78,77,20,16.4
61,Hilo,US,2022-02-05 05:02:05,19.7297,-155.09,73.8,97,32,1.01
62,Nuristan,AF,2022-02-05 05:02:05,35.3,70.8333,21.43,44,0,5.26
63,Misratah,LY,2022-02-05 05:02:06,32.3754,15.0925,56.12,42,7,12.53
64,Lebu,CL,2022-02-05 05:01:38,-37.6167,-73.65,56.95,88,51,17.56
65,Ancud,CL,2022-02-05 05:02:07,-41.8697,-73.8203,53.22,91,7,2.48
66,Amga,RU,2022-02-05 05:02:07,60.8953,131.9608,-12.98,89,99,4.18
67,Constitucion,CL,2022-02-05 05:00:57,-35.3333,-72.4167,57.74,86,14,10.83
68,Kabwe,ZM,2022-02-05 05:02:08,-14.4469,28.4464,63.21,99,100,2.89
69,Caldas,CO,2022-02-05 05:02:09,6.0911,-75.6357,62.69,99,74,1.77
70,Porto Walter,BR,2022-02-05 05:02:09,-8.2686,-72.7439,72.5,95,100,2.55
71,Hithadhoo,MV,2022-02-05 04:57:51,-0.6,73.0833,82.17,74,97,12.55
72,Guerrero Negro,MX,2022-02-05 05:02:10,27.9769,-114.0611,59.18,35,0,2.77
73,Yellowknife,CA,2022-02-05 05:01:27,62.456,-114.3525,-26.45,83,100,5.99
74,Faanui,PF,2022-02-05 05:02:11,-16.4833,-151.75,80.64,75,75,13.56
75,Conversion,PH,2022-02-05 05:02:11,15.8984,121.1277,82.13,58,76,9.33
76,Cape Town,ZA,2022-02-05 04:59:57,-33.9258,18.4232,65.88,67,0,4.0
77,Toora-Khem,RU,2022-02-05 05:02:12,52.4675,96.11,-1.37,90,98,2.37
78,Codrington,AU,2022-02-05 04:59:03,-38.2667,141.9667,69.3,58,99,20.67
79,Vanavara,RU,2022-02-05 05:02:13,60.34,102.2797,12.81,91,100,8.55
80,Ribeira Grande,PT,2022-02-05 05:02:13,38.5167,-28.7,58.86,79,21,5.61
81,Saint-Francois,FR,2022-02-05 05:02:14,46.4154,3.9054,35.04,92,0,5.75
82,Pedernales,DO,2022-02-05 05:02:14,18.0384,-71.744,75.85,71,7,3.0
83,Dudinka,RU,2022-02-05 05:02:15,69.4058,86.1778,-3.6,96,95,5.7
84,Alofi,NU,2022-02-05 05:02:03,-19.0595,-169.9187,80.4,80,100,20.69
85,Carnarvon,AU,2022-02-05 05:02:15,-24.8667,113.6333,96.87,37,12,5.41
86,Mayo,US,2022-02-05 05:02:16,38.8876,-76.5119,35.55,79,100,7.0
87,Tasiilaq,GL,2022-02-05 05:02:16,65.6145,-37.6368,24.96,66,100,38.5
88,Anapskaya,RU,2022-02-05 05:02:17,44.89,37.38,30.43,68,75,6.71
89,Dikson,RU,2022-02-05 05:02:17,73.5069,80.5464,-2.38,91,100,5.44
90,Baracoa,CU,2022-02-05 05:02:18,20.3467,-74.4958,73.54,78,92,10.8
91,Homer,US,2022-02-05 05:02:19,59.6425,-151.5483,20.08,85,60,6.89
92,Ponta Do Sol,PT,2022-02-05 05:03:19,32.6667,-17.1,65.71,70,84,4.88
93,Coquimbo,CL,2022-02-05 05:03:19,-29.9533,-71.3436,62.33,82,0,3.44
94,Yulara,AU,2022-02-05 05:03:20,-25.2406,130.9889,85.71,16,0,10.63
95,Fortuna,US,2022-02-05 05:03:20,40.5982,-124.1573,45.52,93,75,0.0
96,Chapais,CA,2022-02-05 05:03:21,49.7834,-74.8492,-12.12,98,100,2.98
97,Valday,RU,2022-02-05 05:03:22,57.9747,33.2525,6.75,96,97,8.72
98,Milkovo,RU,2022-02-05 05:03:22,54.7167,158.6167,17.51,92,100,5.79
99,Benguela,AO,2022-02-05 05:03:23,-12.5763,13.4055,73.31,72,100,2.93
100,Mahibadhoo,MV,2022-02-05 05:03:23,3.7833,72.9667,81.95,69,19,9.31
101,Lompoc,US,2022-02-05 05:01:37,34.6391,-120.4579,57.18,76,0,3.44
102,Mahebourg,MU,2022-02-05 05:02:46,-20.4081,57.7,82.26,85,98,21.52
103,Jamestown,US,2022-02-05 04:58:38,42.097,-79.2353,18.72,86,100,6.91
104,Vila Velha,BR,2022-02-05 05:03:17,-20.3297,-40.2925,75.15,96,0,1.01
105,Lhokseumawe,ID,2022-02-05 05:03:26,5.1801,97.1507,84.31,67,100,4.97
106,Ipameri,BR,2022-02-05 05:03:26,-17.7219,-48.1597,68.16,90,52,2.15
107,Mama,RU,2022-02-05 05:03:28,58.3106,112.8986,13.53,84,100,5.39
108,Chitral,PK,2022-02-05 05:03:29,35.8462,71.7858,37.49,46,0,7.54
109,Bilibino,RU,2022-02-05 05:03:30,68.0546,166.4372,-7.69,86,1,5.3
110,Mariestad,SE,2022-02-05 05:03:31,58.7097,13.8237,36.09,93,15,16.37
111,La Palma,US,2022-02-05 05:03:31,33.8464,-118.0467,63.28,29,0,1.01
112,Vostok,RU,2022-02-05 05:03:32,46.4856,135.8833,0.57,87,100,6.89
113,College,US,2022-02-05 05:03:09,64.8569,-147.8028,5.58,78,100,0.0
114,Nyurba,RU,2022-02-05 05:03:32,63.2842,118.3319,-9.31,94,96,3.4
115,Nantucket,US,2022-02-05 04:58:49,41.2835,-70.0995,35.15,94,100,19.82
116,East London,ZA,2022-02-05 05:03:33,-33.0153,27.9116,69.04,88,95,11.86
117,Lensk,RU,2022-02-05 05:01:05,60.7253,114.9278,6.24,88,99,7.94
118,Port Hawkesbury,CA,2022-02-05 05:03:34,45.6169,-61.3485,32.92,96,100,6.91
119,Boa Vista,BR,2022-02-05 05:03:34,2.8197,-60.6733,80.58,61,0,10.36
120,Sterlibashevo,RU,2022-02-05 05:03:35,53.4376,55.2578,19.45,92,100,8.34
121,Tateyama,JP,2022-02-05 05:03:36,34.9833,139.8667,46.42,37,82,7.87
122,Chuy,UY,2022-02-05 05:03:36,-33.6971,-53.4616,68.04,94,44,3.76
123,Acapulco,MX,2022-02-05 05:01:18,16.8634,-99.8901,73.38,79,0,3.74
124,Porto Torres,IT,2022-02-05 05:03:38,40.835,8.3972,51.98,89,60,9.82
125,Saint-Pierre,RE,2022-02-05 05:03:15,-21.3393,55.4781,83.88,65,99,3.44
126,Rio Gallegos,AR,2022-02-05 05:03:42,-51.6226,-69.2181,50.47,68,5,17.65
127,Urumqi,CN,2022-02-05 05:03:19,43.801,87.6005,2.35,85,100,2.24
128,Port Elizabeth,ZA,2022-02-05 05:03:42,-33.918,25.5701,68.09,81,94,10.02
129,Saint George,US,2022-02-05 05:03:43,37.1041,-113.5841,42.35,35,0,1.01
130,Malartic,CA,2022-02-05 05:00:24,48.1335,-78.1328,-15.34,100,88,3.24
131,Shenjiamen,CN,2022-02-05 05:03:44,29.9576,122.298,43.97,61,50,17.16
132,Chongoyape,PE,2022-02-05 04:59:19,-6.6406,-79.3892,73.89,69,56,2.21
133,Araouane,ML,2022-02-05 05:04:44,18.9048,-3.5265,59.92,13,0,10.07
134,Kapaa,US,2022-02-05 05:02:08,22.0752,-159.319,75.11,59,47,3.56
135,San Cristobal,VE,2022-02-05 05:04:45,7.7669,-72.225,69.98,92,52,3.0
136,Saint-Philippe,RE,2022-02-05 05:04:43,-21.3585,55.7679,83.79,89,100,24.61
137,Lyubech,UA,2022-02-05 05:04:46,51.7026,30.6569,17.06,92,85,9.66
138,Mizdah,LY,2022-02-05 05:04:46,31.4451,12.9801,47.23,37,62,8.72
139,Sedalia,US,2022-02-05 05:04:47,38.7045,-93.2283,20.79,58,0,5.75
140,Bethel,US,2022-02-05 05:01:36,41.3712,-73.414,28.04,85,100,7.76
141,Naze,JP,2022-02-05 05:04:48,28.3667,129.4833,52.81,63,99,17.02
142,Helong,CN,2022-02-05 05:04:48,42.5397,128.9972,11.08,57,88,13.91
143,Batsfjord,NO,2022-02-05 05:04:49,70.6345,29.7185,18.93,86,100,21.14
144,Qaqortoq,GL,2022-02-05 05:04:40,60.7167,-46.0333,5.0,48,3,25.39
145,Thompson,CA,2022-02-05 05:04:50,55.7435,-97.8558,-33.45,100,11,2.73
146,Sassandra,CI,2022-02-05 05:04:50,4.95,-6.0833,76.42,89,13,1.92
147,Tiruppuvanam,IN,2022-02-05 05:04:51,9.8333,78.2667,86.38,62,40,5.75
148,Vaini,TO,2022-02-05 05:04:51,-21.2,-175.2,77.16,94,100,14.97
149,San Patricio,US,2022-02-05 05:04:52,28.017,-97.5169,39.81,77,6,12.33
150,Bull Savanna,JM,2022-02-05 05:04:52,17.8868,-77.5902,70.75,83,6,5.73
151,Porto Murtinho,BR,2022-02-05 05:04:53,-21.6989,-57.8825,80.82,63,26,7.34
152,Kassala,SD,2022-02-05 05:04:53,15.451,36.4,65.21,66,6,10.2
153,Westport,US,2022-02-05 05:00:59,41.1415,-73.3579,30.02,86,100,4.0
154,Santa Rosa,PH,2022-02-05 05:02:45,14.3122,121.1114,87.12,64,29,18.99
155,Khor,RU,2022-02-05 05:04:54,47.8861,134.9464,-2.07,91,100,7.54
156,Krasnoselkup,RU,2022-02-05 05:04:55,65.7,82.4667,16.56,95,100,5.17
157,Michurinsk,RU,2022-02-05 05:04:55,52.8978,40.4907,8.2,91,56,10.67
158,Sorland,NO,2022-02-05 05:04:34,67.667,12.6934,33.6,76,100,30.36
159,Torbay,CA,2022-02-05 05:03:09,47.6666,-52.7314,32.76,99,100,4.61
160,Tautira,PF,2022-02-05 05:04:41,-17.7333,-149.15,82.42,74,28,14.2
161,Hortobagy,HU,2022-02-05 05:04:56,47.5828,21.1511,34.0,83,100,6.42
162,Klaksvik,FO,2022-02-05 05:04:57,62.2266,-6.589,34.72,58,98,9.15
163,Severo-Kurilsk,RU,2022-02-05 05:04:57,50.6789,156.125,30.51,89,86,9.75
164,Bukama,CD,2022-02-05 05:04:58,-9.2,25.85,65.32,98,100,1.03
165,Pelotas,BR,2022-02-05 05:04:58,-31.7719,-52.3425,73.42,97,40,4.61
166,Smithers,CA,2022-02-05 05:04:59,54.7804,-127.1743,27.57,96,63,5.1
167,Nouakchott,MR,2022-02-05 05:00:24,18.0858,-15.9785,69.03,34,0,9.04
168,Fort Nelson,CA,2022-02-05 05:01:41,58.8053,-122.7002,-7.35,96,100,1.68
169,Andenes,NO,2022-02-05 05:05:03,69.3143,16.1194,26.58,74,85,14.97
170,Geraldton,AU,2022-02-05 05:05:04,-28.7667,114.6,111.61,7,0,5.75
171,Kenai,US,2022-02-05 05:05:04,60.5544,-151.2583,24.85,100,100,5.75
172,Cabo San Lucas,MX,2022-02-05 05:00:58,22.8909,-109.9124,62.94,70,0,1.66
173,Shache,CN,2022-02-05 05:05:05,38.4167,77.2406,31.71,34,100,2.71
174,Darnah,LY,2022-02-05 05:05:06,32.767,22.6367,52.02,80,0,12.66
175,Isangel,VU,2022-02-05 05:02:17,-19.55,169.2667,77.34,88,100,13.29
176,Gbadolite,CD,2022-02-05 05:05:07,4.2833,21.0167,68.4,35,100,1.45
177,Tadine,NC,2022-02-05 05:05:07,-21.55,167.8833,80.04,89,99,17.36
178,Yatou,CN,2022-02-05 05:05:08,37.15,122.3833,32.31,37,70,17.56
179,Grajau,BR,2022-02-05 05:05:08,-5.8194,-46.1386,72.63,96,98,2.26
180,Rodrigues Alves,BR,2022-02-05 05:06:09,-7.738,-72.6509,72.05,98,100,2.62
181,Nemuro,JP,2022-02-05 05:05:36,43.3236,145.575,26.28,62,38,17.92
182,Provideniya,RU,2022-02-05 05:06:10,64.3833,-173.3,0.1,68,1,11.79
183,Saint-Augustin,CA,2022-02-05 05:06:10,51.226,-58.6502,-9.22,85,100,9.66
184,Port Blair,IN,2022-02-05 05:06:11,11.6667,92.75,86.04,70,40,11.5
185,Kendari,ID,2022-02-05 05:06:11,-3.945,122.4989,86.72,63,100,6.22
186,Cherskiy,RU,2022-02-05 05:06:12,68.75,161.3,-31.59,97,8,4.18
187,Mirnyy,RU,2022-02-05 05:06:12,62.5353,113.9611,-4.83,94,85,5.06
188,Keffi,NG,2022-02-05 05:06:13,8.8486,7.8736,68.94,15,0,4.65
189,Nova Londrina,BR,2022-02-05 05:06:13,-22.7658,-52.985,72.99,93,97,3.71
190,Komsomolskiy,UZ,2022-02-05 05:06:14,40.4272,71.7189,38.62,55,92,2.3
191,Namatanai,PG,2022-02-05 05:06:14,-3.6667,152.4333,85.01,67,84,9.66
192,Deputatskiy,RU,2022-02-05 05:06:15,69.3,139.9,-27.27,98,71,2.95
193,Igrim,RU,2022-02-05 05:06:15,63.1906,64.4162,-11.27,100,91,2.15
194,Idrinskoye,RU,2022-02-05 05:06:16,54.3708,92.1358,9.18,82,100,3.8
195,Samarai,PG,2022-02-05 05:06:16,-10.6167,150.6667,84.54,76,95,9.6
196,Chernyakhovsk,RU,2022-02-05 05:06:17,54.6335,21.8156,35.94,97,100,15.68
197,Naberera,TZ,2022-02-05 05:06:17,-4.2,36.9333,63.55,87,100,8.63
198,Gurupa,BR,2022-02-05 05:06:18,-1.405,-51.64,72.95,98,99,2.46
199,Sabak,MY,2022-02-05 05:06:18,3.7675,100.9875,88.59,55,73,2.06
200,Vanimo,PG,2022-02-05 05:06:18,-2.6741,141.3028,86.02,66,56,11.18
201,Kalmunai,LK,2022-02-05 05:06:21,7.4167,81.8167,80.67,65,66,4.92
202,Christchurch,NZ,2022-02-05 05:05:50,-43.5333,172.6333,56.91,89,100,1.01
203,Srednekolymsk,RU,2022-02-05 05:06:22,67.45,153.6833,-32.13,100,98,0.74
204,Qaanaaq,GL,2022-02-05 05:05:55,77.484,-69.3632,1.54,71,100,6.29
205,Zachepylivka,UA,2022-02-05 05:06:25,49.1939,35.2394,8.06,98,86,2.75
206,Wasilla,US,2022-02-05 05:06:26,61.5814,-149.4394,25.74,83,100,4.61
207,Pochutla,MX,2022-02-05 05:03:32,15.7432,-96.4661,76.05,71,0,4.05
208,Caravelas,BR,2022-02-05 05:06:26,-17.7125,-39.2481,75.06,91,100,4.97
209,Plattsburgh,US,2022-02-05 05:06:27,44.6995,-73.4529,12.07,79,100,1.99
210,Klyuchi,RU,2022-02-05 05:02:11,52.2667,79.1667,12.85,78,6,11.12
211,Picota,PE,2022-02-05 05:06:27,-6.9197,-76.3304,72.0,92,20,0.72
212,Vetel,RO,2022-02-05 05:06:28,45.9,22.8167,35.6,68,69,0.87
213,Lata,PT,2022-02-05 05:03:19,40.1629,-8.3327,42.06,96,79,2.75
214,Yining,CN,2022-02-05 05:06:29,29.0361,114.5636,51.58,51,3,2.33
215,Tuy Hoa,VN,2022-02-05 05:02:35,13.0833,109.3,75.99,85,60,17.34
216,Kloulklubed,PW,2022-02-05 05:06:30,7.0419,134.2556,86.5,81,40,19.6
217,Den Helder,NL,2022-02-05 05:05:09,52.9599,4.7593,42.78,76,40,21.0
218,Baykit,RU,2022-02-05 05:06:30,61.67,96.37,15.98,93,99,3.83
219,Kavieng,PG,2022-02-05 05:06:31,-2.5744,150.7967,83.95,71,83,8.93
220,Olga,RU,2022-02-05 05:06:31,43.7444,135.2892,14.94,45,12,16.17
221,Staryy Nadym,RU,2022-02-05 05:06:33,65.6118,72.6842,-1.43,99,84,8.97
222,Seguela,CI,2022-02-05 05:06:34,7.9611,-6.6731,68.05,36,5,3.8
223,Antalaha,MG,2022-02-05 05:06:35,-14.9003,50.2788,79.61,71,100,3.24
224,Saint Anthony,US,2022-02-05 05:07:35,45.0205,-93.218,-0.15,74,75,0.0
225,San Joaquin,US,2022-02-05 05:07:36,37.9333,-121.3011,50.13,74,0,5.75
226,Vestmannaeyjar,IS,2022-02-05 05:03:11,63.4427,-20.2734,32.45,84,100,16.35
227,Burhanpur,IN,2022-02-05 05:07:36,21.3,76.2333,73.76,20,11,4.56
228,Tura,IN,2022-02-05 05:03:17,25.5198,90.2201,57.34,88,44,3.38
229,Turkmenabat,TM,2022-02-05 05:07:37,39.0733,63.5786,52.03,23,2,22.79
230,Yankton,US,2022-02-05 05:03:19,42.8711,-97.3973,9.12,52,75,4.61
231,Zapolyarnyy,RU,2022-02-05 05:07:38,69.4154,30.8136,13.28,93,100,15.28
232,Kharan,PK,2022-02-05 05:07:39,28.5833,65.4167,61.74,10,0,1.61
233,Prince Rupert,CA,2022-02-05 05:07:39,54.3161,-130.3201,42.89,87,100,17.27
234,Port Hardy,CA,2022-02-05 05:05:38,50.6996,-127.4199,45.75,93,100,6.91
235,Ciudad Bolivar,VE,2022-02-05 05:07:40,8.1222,-63.5497,77.11,68,55,11.23
236,Gondar,ET,2022-02-05 05:07:40,12.6,37.4667,59.67,56,17,4.12
237,Ketchikan,US,2022-02-05 05:03:18,55.3422,-131.6461,45.07,70,40,9.22
238,Aksarka,RU,2022-02-05 05:07:41,66.5606,67.7975,-1.88,100,89,2.08
239,Tuatapere,NZ,2022-02-05 05:07:41,-46.1333,167.6833,59.83,57,18,9.06
240,Berlevag,NO,2022-02-05 05:07:20,70.8578,29.0864,20.75,80,100,25.14
241,Nikolskoye,RU,2022-02-05 05:06:45,59.7035,30.7861,18.39,88,100,13.51
242,Visby,SE,2022-02-05 05:07:42,57.6409,18.296,35.82,93,100,14.97
243,Celestun,MX,2022-02-05 05:07:43,20.8667,-90.4,73.47,90,38,19.06
244,Longyearbyen,SJ,2022-02-05 05:05:22,78.2186,15.6401,13.84,57,20,27.63
245,Faya,SA,2022-02-05 05:07:43,18.3851,42.4509,55.92,76,25,6.44
246,Rokiskis,LT,2022-02-05 05:07:44,55.9667,25.5833,31.53,96,100,13.76
247,Mana,GF,2022-02-05 05:07:44,5.6592,-53.7767,75.74,90,100,7.92
248,Quatre Cocos,MU,2022-02-05 05:04:07,-20.2078,57.7625,81.09,85,99,19.48
249,Rovaniemi,FI,2022-02-05 05:07:45,66.5,25.7167,20.61,93,100,10.36
250,Hofn,IS,2022-02-05 05:07:45,64.2539,-15.2082,26.33,66,100,14.74
251,Piacabucu,BR,2022-02-05 05:07:46,-10.4056,-36.4344,77.38,77,26,7.9
252,Roald,NO,2022-02-05 05:03:19,62.5833,6.1333,39.0,80,40,33.38
253,Imeni Poliny Osipenko,RU,2022-02-05 05:07:54,52.4201,136.4853,8.82,80,100,9.82
254,Arica,CL,2022-02-05 05:07:55,-18.475,-70.3042,66.43,77,0,4.61
255,Sitka,US,2022-02-05 05:05:43,57.0531,-135.33,42.69,75,100,5.75
256,Bedford,GB,2022-02-05 05:07:56,52.1346,-0.4663,37.9,85,27,11.74
257,Grand Gaube,MU,2022-02-05 05:07:56,-20.0064,57.6608,81.37,81,100,7.0
258,Cidreira,BR,2022-02-05 05:03:28,-30.1811,-50.2056,72.0,93,10,3.83
259,Port Shepstone,ZA,2022-02-05 05:07:57,-30.7414,30.455,70.0,91,100,3.6
260,Konya,TR,2022-02-05 05:07:57,38.1667,32.5,20.68,82,7,3.22
261,Cayenne,GF,2022-02-05 05:07:58,4.9333,-52.3333,79.09,86,75,7.0
262,Poum,NC,2022-02-05 05:07:58,-20.2333,164.0167,81.48,75,97,14.07
263,Sri Aman,MY,2022-02-05 05:07:59,1.2376,111.4621,90.32,52,95,3.27
264,Sisimiut,GL,2022-02-05 05:07:59,66.9395,-53.6735,0.72,84,100,17.47
265,Maldonado,UY,2022-02-05 05:08:00,-34.6667,-54.9167,65.59,96,74,0.89
266,Eyl,SO,2022-02-05 05:05:48,7.9803,49.8164,74.84,63,40,12.97
267,Ilulissat,GL,2022-02-05 05:08:01,69.2167,-51.1,10.42,67,75,8.05
268,Tevaitoa,PF,2022-02-05 05:08:02,-16.7833,-151.5,80.35,76,91,14.5
269,Magway,MM,2022-02-05 05:08:02,20.15,94.9167,88.25,29,0,9.4
270,Bontang,ID,2022-02-05 05:06:20,0.1333,117.5,83.43,69,100,8.7
271,Manono,CD,2022-02-05 05:08:03,-7.3,27.4167,66.16,93,100,1.7
272,Haldensleben,DE,2022-02-05 05:08:04,52.2891,11.4098,43.11,93,92,19.66
273,Polyarnyye Zori,RU,2022-02-05 05:09:04,67.3661,32.4981,13.66,92,100,11.77
274,Digby,CA,2022-02-05 05:09:05,44.6169,-65.7655,25.86,91,100,18.28
275,Deulgaon Raja,IN,2022-02-05 05:07:08,20.0167,76.0333,72.75,20,73,7.43
276,Rawson,AR,2022-02-05 05:07:23,-43.3002,-65.1023,57.54,61,56,15.03
277,Kundiawa,PG,2022-02-05 05:09:05,-6.0167,144.9667,75.33,69,74,2.3
